mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time,total_load
multi_agent_2,21062720_21062723,524.66,8.74,358.19,5.97,151.0,2.52,0.68,0.29,103537.0
multi_agent_2,21062720_21062802,934.9,15.58,662.96,11.05,250.13,4.17,0.71,0.27,136039.0
multi_agent_2,21062720_21062808,2954.97,49.25,2421.59,40.36,499.47,8.32,0.82,0.17,293434.0
multi_agent_2,21100608_21100609,467.53,7.79,206.75,3.45,234.0,3.9,0.44,0.5,73010.0
multi_agent_2,21100608_21100611,1118.44,18.64,696.83,11.61,377.91,6.3,0.62,0.34,220355.0
multi_agent_2,21100608_21100614,2225.77,37.1,1621.92,27.03,548.66,9.14,0.73,0.25,431884.0
multi_agent_2,21100608_21100620,5163.98,86.07,3957.64,65.96,1111.16,18.52,0.77,0.22,882170.0
multi_agent_2,21100620_21100621,300.07,5.0,196.65,3.28,92.73,1.55,0.66,0.31,60986.0
multi_agent_2,21100620_21100623,840.89,14.01,572.6,9.54,243.97,4.07,0.68,0.29,164643.0
multi_agent_2,21100620_21100702,1630.93,27.18,1182.88,19.71,412.58,6.88,0.73,0.25,243730.0
multi_agent_2,21100620_21100708,4037.15,67.29,3268.52,54.48,717.98,11.97,0.81,0.18,430170.0
multi_agent_2,21100808_21100809,444.85,7.41,198.96,3.32,219.91,3.67,0.45,0.49,71545.0
multi_agent_2,21100808_21100811,1151.73,19.2,749.09,12.48,360.1,6.0,0.65,0.31,221364.0
multi_agent_2,21100808_21100814,2427.26,40.45,1844.7,30.74,526.87,8.78,0.76,0.22,429151.0
multi_agent_2,21100808_21100820,6372.07,106.2,5147.49,85.79,1128.97,18.82,0.81,0.18,911194.0
multi_agent_2,21100820_21100821,415.23,6.92,233.97,3.9,162.82,2.71,0.56,0.39,70630.0
multi_agent_2,21100820_21100823,1243.35,20.72,851.04,14.18,356.62,5.94,0.68,0.29,201152.0
multi_agent_2,21100820_21100902,2569.61,42.83,1754.87,29.25,750.85,12.51,0.68,0.29,327558.0
multi_agent_2,21100820_21100908,4988.13,83.14,3848.17,64.14,1067.19,17.79,0.77,0.21,460335.0
multi_agent_2,21101008_21101009,217.7,3.63,104.2,1.74,100.98,1.68,0.48,0.46,41049.0
